Student Roll No.,Student Name,Email id,Course,Cohort,Year,Term-1,Term-2,Term-3,No. of JPT Mock Interviews attempted and scored equal or above 80%,Area Head Mock Interview Score,No. of Allocated Interview Attempts,"Categorise student overall (Outstanding, Good, Average, Needs Handholding)",Placed/Not Placed,"If placed, no. of interview attempts required for placement"
SPJ20237606,Student_40_Jul-24,student40@jul-24.spjain.edu,GCGM,Jul-24,2023,76.8,92.4,81.0,2,82.8,3,Needs Handholding,Placed,3
SPJ20222094,Student_41_Jul-24,student41@jul-24.spjain.edu,MGB,Jul-24,2022,84.9,78.6,83.9,1,89.5,6,Needs Handholding,Placed,2
SPJ20236863,Student_42_Jan-22,student42@jan-22.spjain.edu,MGB,Jan-22,2023,93.4,86.9,76.6,0,79.1,4,Outstanding,Placed,3
SPJ20223676,Student_43_Jul-22,student43@jul-22.spjain.edu,GMBA,Jul-22,2022,78.6,94.0,72.7,0,84.3,4,Good,Placed,1
SPJ20222986,Student_44_Jul-23,student44@jul-23.spjain.edu,GCGM,Jul-23,2022,75.5,80.5,90.6,1,84.4,7,Average,Not Placed,0
SPJ20237481,Student_45_Jul-22,student45@jul-22.spjain.edu,GCGM,Jul-22,2023,71.9,86.7,77.4,0,89.5,4,Average,Placed,2
SPJ20228707,Student_46_Jan-24,student46@jan-24.spjain.edu,MGB,Jan-24,2022,94.3,72.4,76.9,0,84.0,8,Average,Placed,7
SPJ20222511,Student_47_Jan-22,student47@jan-22.spjain.edu,GMBA,Jan-22,2022,92.6,88.5,82.5,1,93.3,3,Outstanding,Placed,3
SPJ20248175,Student_48_Jan-24,student48@jan-24.spjain.edu,MGB,Jan-24,2024,90.7,72.6,74.8,3,78.4,7,Average,Not Placed,0
SPJ20224750,Student_49_Jul-23,student49@jul-23.spjain.edu,GCGM,Jul-23,2022,91.9,83.5,91.9,1,85.9,5,Needs Handholding,Placed,3
SPJ20242000,Student_50_Jul-23,student50@jul-23.spjain.edu,GMBA,Jul-23,2024,70.6,89.6,84.7,3,88.6,3,Needs Handholding,Not Placed,0
SPJ20223800,Student_51_Jul-23,student51@jul-23.spjain.edu,MGB,Jul-23,2022,92.5,83.0,90.2,1,90.3,6,Good,Placed,6
SPJ20247634,Student_52_Jul-22,student52@jul-22.spjain.edu,GCGM,Jul-22,2024,78.7,86.8,72.2,2,75.3,5,Needs Handholding,Placed,3
SPJ20249753,Student_53_Jul-22,student53@jul-22.spjain.edu,GMBA,Jul-22,2024,71.8,86.3,93.4,0,81.5,6,Needs Handholding,Placed,5
SPJ20221555,Student_54_Jan-23,student54@jan-23.spjain.edu,GMBA,Jan-23,2022,80.7,85.2,77.2,0,94.1,4,Outstanding,Not Placed,0
SPJ20246533,Student_55_Jul-24,student55@jul-24.spjain.edu,GMBA,Jul-24,2024,75.7,91.0,80.8,5,88.8,7,Average,Placed,3
SPJ20248231,Student_56_Jan-24,student56@jan-24.spjain.edu,GMBA,Jan-24,2024,83.8,71.7,72.1,3,87.5,7,Needs Handholding,Placed,6
SPJ20225503,Student_57_Jan-23,student57@jan-23.spjain.edu,GCGM,Jan-23,2022,75.9,83.6,81.2,1,85.8,8,Good,Placed,8
SPJ20249287,Student_58_Jan-22,student58@jan-22.spjain.edu,MGB,Jan-22,2024,71.6,85.7,94.3,4,85.6,6,Good,Not Placed,0
SPJ20224051,Student_59_Jul-24,student59@jul-24.spjain.edu,MGB,Jul-24,2022,90.9,73.2,82.9,1,94.9,3,Average,Placed,2
SPJ20221627,Student_60_Jul-24,student60@jul-24.spjain.edu,GMBA,Jul-24,2022,79.2,87.4,92.1,3,82.6,7,Average,Not Placed,0
SPJ20227456,Student_61_Jul-24,student61@jul-24.spjain.edu,GCGM,Jul-24,2022,74.2,92.5,74.4,2,80.4,4,Needs Handholding,Not Placed,0
SPJ20234640,Student_62_Jul-22,student62@jul-22.spjain.edu,GCGM,Jul-22,2023,90.7,85.3,74.6,2,94.0,8,Average,Not Placed,0
SPJ20247374,Student_63_Jan-24,student63@jan-24.spjain.edu,GCGM,Jan-24,2024,93.4,78.5,74.1,1,78.7,5,Needs Handholding,Placed,3
SPJ20229265,Student_64_Jan-24,student64@jan-24.spjain.edu,GCGM,Jan-24,2022,80.1,84.7,91.7,1,85.6,8,Average,Placed,4
SPJ20246250,Student_65_Jan-24,student65@jan-24.spjain.edu,GCGM,Jan-24,2024,79.8,79.1,93.8,4,80.3,6,Average,Placed,5
SPJ20238933,Student_66_Jul-24,student66@jul-24.spjain.edu,MGB,Jul-24,2023,90.6,75.6,74.9,0,92.6,7,Outstanding,Placed,4
SPJ20226039,Student_67_Jan-22,student67@jan-22.spjain.edu,GCGM,Jan-22,2022,83.0,87.6,84.5,0,76.7,5,Good,Not Placed,0
SPJ20238796,Student_68_Jan-23,student68@jan-23.spjain.edu,GCGM,Jan-23,2023,81.3,78.2,78.2,0,89.6,5,Good,Not Placed,0
SPJ20222427,Student_69_Jan-24,student69@jan-24.spjain.edu,GMBA,Jan-24,2022,76.0,80.7,91.3,0,94.2,5,Good,Placed,3
SPJ20221110,Student_70_Jan-23,student70@jan-23.spjain.edu,GCGM,Jan-23,2022,81.4,85.4,93.7,1,86.2,7,Good,Not Placed,0
SPJ20227817,Student_71_Jan-23,student71@jan-23.spjain.edu,MGB,Jan-23,2022,75.9,82.9,83.9,3,78.3,4,Average,Not Placed,0
SPJ20246535,Student_72_Jan-23,student72@jan-23.spjain.edu,GCGM,Jan-23,2024,82.7,89.8,81.2,2,81.0,4,Good,Not Placed,0
SPJ20243111,Student_73_Jan-23,student73@jan-23.spjain.edu,GMBA,Jan-23,2024,92.3,77.0,85.8,3,94.3,5,Average,Placed,5
SPJ20226027,Student_74_Jan-24,student74@jan-24.spjain.edu,MGB,Jan-24,2022,94.2,90.3,80.7,0,77.7,3,Outstanding,Placed,1
SPJ20222134,Student_75_Jul-24,student75@jul-24.spjain.edu,MGB,Jul-24,2022,84.7,92.0,71.8,0,87.9,3,Average,Not Placed,0
SPJ20235968,Student_76_Jan-22,student76@jan-22.spjain.edu,GCGM,Jan-22,2023,78.5,70.8,75.1,4,89.8,8,Outstanding,Not Placed,0
SPJ20248356,Student_77_Jan-24,student77@jan-24.spjain.edu,MGB,Jan-24,2024,85.4,79.6,85.5,1,85.0,8,Good,Not Placed,0
SPJ20245717,Student_78_Jul-23,student78@jul-23.spjain.edu,GMBA,Jul-23,2024,93.7,86.1,73.7,0,82.3,7,Good,Not Placed,0
SPJ20243346,Student_79_Jan-22,student79@jan-22.spjain.edu,GCGM,Jan-22,2024,75.5,90.3,87.7,0,78.8,3,Good,Placed,3
SPJ20243623,Student_80_Jan-22,student80@jan-22.spjain.edu,GMBA,Jan-22,2024,77.6,72.3,79.4,0,85.4,6,Average,Not Placed,0
SPJ20246735,Student_81_Jul-24,student81@jul-24.spjain.edu,GCGM,Jul-24,2024,81.6,70.6,74.1,3,85.4,3,Needs Handholding,Placed,1
SPJ20233333,Student_82_Jul-23,student82@jul-23.spjain.edu,MGB,Jul-23,2023,76.5,94.3,84.1,3,77.7,4,Outstanding,Not Placed,0
SPJ20243976,Student_83_Jan-22,student83@jan-22.spjain.edu,GMBA,Jan-22,2024,90.4,91.4,88.5,4,79.8,3,Needs Handholding,Placed,3
SPJ20226338,Student_84_Jul-23,student84@jul-23.spjain.edu,GMBA,Jul-23,2022,86.1,74.4,81.4,0,83.9,8,Good,Placed,1
SPJ20222234,Student_85_Jul-22,student85@jul-22.spjain.edu,GCGM,Jul-22,2022,84.4,84.2,85.4,1,94.1,8,Needs Handholding,Not Placed,0
SPJ20226047,Student_86_Jan-23,student86@jan-23.spjain.edu,GMBA,Jan-23,2022,83.8,73.6,92.4,2,89.0,4,Good,Not Placed,0
SPJ20226449,Student_87_Jul-23,student87@jul-23.spjain.edu,MGB,Jul-23,2022,82.2,86.1,88.4,1,78.2,6,Average,Placed,1
SPJ20243856,Student_88_Jan-23,student88@jan-23.spjain.edu,MGB,Jan-23,2024,90.3,89.4,85.3,0,92.9,7,Needs Handholding,Placed,2
SPJ20226355,Student_89_Jan-22,student89@jan-22.spjain.edu,MGB,Jan-22,2022,71.4,76.2,92.5,4,93.2,8,Outstanding,Placed,8
SPJ20244087,Student_90_Jan-24,student90@jan-24.spjain.edu,GCGM,Jan-24,2024,93.6,83.0,73.3,0,77.7,5,Needs Handholding,Placed,5
SPJ20224450,Student_91_Jan-22,student91@jan-22.spjain.edu,GCGM,Jan-22,2022,76.6,83.9,85.2,4,85.1,7,Needs Handholding,Not Placed,0
SPJ20241284,Student_92_Jul-24,student92@jul-24.spjain.edu,GMBA,Jul-24,2024,87.6,79.3,82.9,0,87.7,6,Outstanding,Placed,2
SPJ20222533,Student_93_Jan-23,student93@jan-23.spjain.edu,MGB,Jan-23,2022,93.1,86.1,90.4,2,77.2,3,Average,Placed,1
SPJ20244257,Student_94_Jul-22,student94@jul-22.spjain.edu,GCGM,Jul-22,2024,84.4,89.5,88.2,5,82.0,3,Outstanding,Not Placed,0
SPJ20249189,Student_95_Jan-23,student95@jan-23.spjain.edu,MGB,Jan-23,2024,91.7,82.8,71.4,0,86.5,6,Outstanding,Placed,6
SPJ20228644,Student_96_Jan-24,student96@jan-24.spjain.edu,GCGM,Jan-24,2022,73.6,71.2,73.8,0,79.1,3,Needs Handholding,Not Placed,0
SPJ20222981,Student_97_Jul-22,student97@jul-22.spjain.edu,GMBA,Jul-22,2022,72.9,89.3,86.8,0,82.7,3,Good,Placed,1
SPJ20224153,Student_98_Jul-24,student98@jul-24.spjain.edu,GMBA,Jul-24,2022,81.2,88.1,86.5,3,93.6,4,Good,Placed,3
SPJ20235660,Student_99_Jul-23,student99@jul-23.spjain.edu,MGB,Jul-23,2023,75.2,70.3,74.5,0,78.0,5,Good,Placed,1
SPJ20243110,Student_100_Jan-24,student100@jan-24.spjain.edu,GCGM,Jan-24,2024,79.9,83.1,93.0,1,94.6,4,Average,Not Placed,0
SPJ20223100,Student_101_Jan-24,student101@jan-24.spjain.edu,GCGM,Jan-24,2022,87.5,79.2,94.2,0,91.2,8,Outstanding,Placed,6
SPJ20236351,Student_102_Jan-24,student102@jan-24.spjain.edu,GMBA,Jan-24,2023,90.6,89.4,75.7,0,77.8,4,Needs Handholding,Not Placed,0
SPJ20238894,Student_103_Jan-23,student103@jan-23.spjain.edu,GMBA,Jan-23,2023,77.7,93.1,75.3,1,93.8,8,Good,Placed,3
SPJ20222398,Student_104_Jul-23,student104@jul-23.spjain.edu,GCGM,Jul-23,2022,79.0,74.0,75.8,2,76.2,7,Outstanding,Not Placed,0
SPJ20245676,Student_105_Jul-23,student105@jul-23.spjain.edu,MGB,Jul-23,2024,70.6,75.7,73.2,0,81.8,5,Good,Placed,2
SPJ20227933,Student_106_Jul-22,student106@jul-22.spjain.edu,GCGM,Jul-22,2022,73.1,85.4,92.7,3,86.3,8,Needs Handholding,Not Placed,0
SPJ20228857,Student_107_Jan-24,student107@jan-24.spjain.edu,MGB,Jan-24,2022,79.3,84.8,89.5,2,80.7,4,Good,Not Placed,0
SPJ20231436,Student_108_Jul-22,student108@jul-22.spjain.edu,GCGM,Jul-22,2023,81.5,70.1,71.1,0,90.9,7,Outstanding,Placed,2
SPJ20242596,Student_109_Jul-23,student109@jul-23.spjain.edu,GMBA,Jul-23,2024,75.7,81.2,76.9,1,78.2,7,Outstanding,Placed,5
SPJ20231695,Student_110_Jul-24,student110@jul-24.spjain.edu,GMBA,Jul-24,2023,81.2,73.7,70.8,1,89.1,6,Outstanding,Placed,5
SPJ20229061,Student_111_Jul-23,student111@jul-23.spjain.edu,MGB,Jul-23,2022,76.2,81.5,75.7,0,91.3,5,Average,Not Placed,0
SPJ20237978,Student_112_Jul-22,student112@jul-22.spjain.edu,MGB,Jul-22,2023,74.4,87.6,70.6,3,78.6,7,Average,Not Placed,0
SPJ20243565,Student_113_Jul-23,student113@jul-23.spjain.edu,GMBA,Jul-23,2024,76.3,70.7,73.0,1,79.0,8,Good,Not Placed,0
SPJ20231943,Student_114_Jan-23,student114@jan-23.spjain.edu,MGB,Jan-23,2023,92.2,80.9,73.7,0,85.5,4,Needs Handholding,Placed,1
SPJ20238956,Student_115_Jul-23,student115@jul-23.spjain.edu,MGB,Jul-23,2023,80.6,77.8,78.3,0,90.1,3,Outstanding,Not Placed,0
SPJ20221049,Student_116_Jul-23,student116@jul-23.spjain.edu,GMBA,Jul-23,2022,92.8,70.9,88.7,1,85.9,7,Outstanding,Not Placed,0
SPJ20249141,Student_117_Jul-22,student117@jul-22.spjain.edu,MGB,Jul-22,2024,94.9,71.6,89.6,1,87.2,7,Outstanding,Not Placed,0
SPJ20247262,Student_118_Jan-24,student118@jan-24.spjain.edu,MGB,Jan-24,2024,94.7,86.0,86.2,1,86.8,8,Outstanding,Not Placed,0
SPJ20248862,Student_119_Jan-24,student119@jan-24.spjain.edu,GMBA,Jan-24,2024,77.3,80.3,79.6,0,79.3,5,Outstanding,Not Placed,0
SPJ20228308,Student_120_Jan-23,student120@jan-23.spjain.edu,GMBA,Jan-23,2022,75.8,74.4,78.1,0,89.7,7,Average,Placed,5
SPJ20242458,Student_121_Jan-22,student121@jan-22.spjain.edu,GCGM,Jan-22,2024,90.6,76.6,92.1,0,79.3,3,Needs Handholding,Placed,1
SPJ20229404,Student_122_Jan-22,student122@jan-22.spjain.edu,MGB,Jan-22,2022,86.5,86.5,85.8,0,92.0,7,Outstanding,Placed,3
SPJ20242156,Student_123_Jan-24,student123@jan-24.spjain.edu,GMBA,Jan-24,2024,81.2,73.7,72.8,0,89.6,7,Average,Placed,7
SPJ20239304,Student_124_Jul-23,student124@jul-23.spjain.edu,GMBA,Jul-23,2023,77.6,73.5,88.9,2,85.4,8,Good,Not Placed,0
SPJ20224095,Student_125_Jul-23,student125@jul-23.spjain.edu,MGB,Jul-23,2022,83.5,71.5,70.6,0,83.4,5,Needs Handholding,Placed,2
SPJ20227938,Student_126_Jan-24,student126@jan-24.spjain.edu,MGB,Jan-24,2022,77.5,80.1,89.1,0,85.2,6,Average,Placed,5
SPJ20222931,Student_127_Jan-24,student127@jan-24.spjain.edu,GMBA,Jan-24,2022,81.6,88.8,84.5,0,80.3,7,Average,Placed,6
SPJ20247183,Student_128_Jan-22,student128@jan-22.spjain.edu,MGB,Jan-22,2024,80.6,78.9,71.1,5,80.0,6,Average,Placed,3
SPJ20237165,Student_129_Jan-22,student129@jan-22.spjain.edu,MGB,Jan-22,2023,84.5,91.5,86.5,1,80.9,3,Needs Handholding,Not Placed,0
SPJ20221190,Student_130_Jan-24,student130@jan-24.spjain.edu,MGB,Jan-24,2022,88.0,93.4,80.7,3,85.2,4,Outstanding,Not Placed,0
SPJ20239233,Student_131_Jan-24,student131@jan-24.spjain.edu,GCGM,Jan-24,2023,72.6,73.6,94.5,1,91.5,6,Average,Placed,1
SPJ20238856,Student_132_Jul-22,student132@jul-22.spjain.edu,GMBA,Jul-22,2023,83.4,83.3,82.5,0,92.6,4,Average,Not Placed,0
SPJ20233674,Student_133_Jan-24,student133@jan-24.spjain.edu,GCGM,Jan-24,2023,85.0,71.7,70.6,0,81.0,4,Outstanding,Placed,3
SPJ20236262,Student_134_Jul-24,student134@jul-24.spjain.edu,GCGM,Jul-24,2023,72.7,75.3,88.0,1,78.7,4,Outstanding,Not Placed,0
SPJ20223369,Student_135_Jan-24,student135@jan-24.spjain.edu,GMBA,Jan-24,2022,80.0,89.5,87.5,1,93.1,5,Average,Not Placed,0
SPJ20242035,Student_136_Jan-22,student136@jan-22.spjain.edu,MGB,Jan-22,2024,72.4,77.9,70.8,2,80.8,3,Needs Handholding,Not Placed,0
SPJ20237565,Student_137_Jul-24,student137@jul-24.spjain.edu,MGB,Jul-24,2023,92.4,93.3,71.6,1,89.0,7,Outstanding,Placed,7
SPJ20227169,Student_138_Jan-24,student138@jan-24.spjain.edu,MGB,Jan-24,2022,72.4,72.0,76.8,0,90.7,5,Good,Not Placed,0
SPJ20239302,Student_139_Jan-24,student139@jan-24.spjain.edu,MGB,Jan-24,2023,85.4,83.5,90.1,2,94.5,6,Needs Handholding,Not Placed,0
SPJ20233208,Student_140_Jan-24,student140@jan-24.spjain.edu,MGB,Jan-24,2023,87.2,91.7,78.2,2,94.6,8,Outstanding,Placed,2
SPJ20242857,Student_141_Jan-24,student141@jan-24.spjain.edu,GMBA,Jan-24,2024,74.5,91.1,89.5,1,88.9,6,Outstanding,Not Placed,0
SPJ20226150,Student_142_Jul-23,student142@jul-23.spjain.edu,GCGM,Jul-23,2022,80.6,88.2,75.7,4,90.1,7,Needs Handholding,Placed,4
SPJ20241405,Student_143_Jul-23,student143@jul-23.spjain.edu,GCGM,Jul-23,2024,86.2,72.5,84.5,2,87.0,6,Needs Handholding,Placed,1
SPJ20245488,Student_144_Jul-24,student144@jul-24.spjain.edu,GMBA,Jul-24,2024,84.3,90.2,77.5,2,78.6,5,Needs Handholding,Not Placed,0
SPJ20246966,Student_145_Jan-24,student145@jan-24.spjain.edu,GMBA,Jan-24,2024,80.9,82.4,71.3,2,78.2,5,Average,Not Placed,0
SPJ20233143,Student_146_Jul-23,student146@jul-23.spjain.edu,MGB,Jul-23,2023,83.4,70.7,81.3,2,94.3,4,Outstanding,Not Placed,0
SPJ20236472,Student_147_Jan-23,student147@jan-23.spjain.edu,GCGM,Jan-23,2023,90.0,91.9,89.6,1,81.7,5,Outstanding,Placed,4
SPJ20233966,Student_148_Jan-24,student148@jan-24.spjain.edu,GMBA,Jan-24,2023,75.7,71.3,87.4,1,92.1,3,Good,Placed,2
SPJ20232637,Student_149_Jul-23,student149@jul-23.spjain.edu,MGB,Jul-23,2023,87.3,81.8,80.0,0,82.8,3,Outstanding,Placed,2
SPJ20249458,Student_150_Jan-23,student150@jan-23.spjain.edu,GCGM,Jan-23,2024,90.4,76.3,89.9,0,75.1,7,Outstanding,Placed,4
SPJ20248309,Student_151_Jul-23,student151@jul-23.spjain.edu,MGB,Jul-23,2024,82.4,84.0,74.9,0,86.6,5,Needs Handholding,Placed,3
SPJ20239663,Student_152_Jul-24,student152@jul-24.spjain.edu,GCGM,Jul-24,2023,89.8,91.3,86.0,0,77.9,3,Good,Placed,1
SPJ20246740,Student_153_Jul-22,student153@jul-22.spjain.edu,MGB,Jul-22,2024,89.0,82.0,75.7,3,92.3,7,Outstanding,Not Placed,0
SPJ20235148,Student_154_Jul-22,student154@jul-22.spjain.edu,GMBA,Jul-22,2023,94.6,93.7,74.4,0,88.4,8,Good,Not Placed,0
SPJ20222825,Student_155_Jan-23,student155@jan-23.spjain.edu,MGB,Jan-23,2022,70.8,93.6,76.4,2,88.0,5,Good,Placed,1
SPJ20228182,Student_156_Jul-22,student156@jul-22.spjain.edu,GCGM,Jul-22,2022,93.4,94.6,77.1,4,90.3,8,Needs Handholding,Placed,8
SPJ20228778,Student_157_Jul-22,student157@jul-22.spjain.edu,MGB,Jul-22,2022,86.6,86.1,87.0,1,78.4,4,Needs Handholding,Placed,1
SPJ20224184,Student_158_Jul-24,student158@jul-24.spjain.edu,MGB,Jul-24,2022,86.4,71.5,91.2,3,94.2,3,Average,Not Placed,0
SPJ20244760,Student_159_Jul-23,student159@jul-23.spjain.edu,GCGM,Jul-23,2024,94.9,94.5,78.1,4,91.6,5,Good,Not Placed,0
SPJ20229276,Student_160_Jan-22,student160@jan-22.spjain.edu,MGB,Jan-22,2022,91.4,91.6,89.7,0,89.3,6,Needs Handholding,Not Placed,0
SPJ20228004,Student_161_Jan-24,student161@jan-24.spjain.edu,MGB,Jan-24,2022,91.1,78.6,74.3,2,93.3,5,Average,Not Placed,0
SPJ20226251,Student_162_Jan-24,student162@jan-24.spjain.edu,GCGM,Jan-24,2022,90.5,92.0,87.2,4,87.4,6,Outstanding,Placed,6
SPJ20249645,Student_163_Jul-24,student163@jul-24.spjain.edu,GCGM,Jul-24,2024,73.1,83.4,94.0,5,80.1,7,Needs Handholding,Not Placed,0
SPJ20248363,Student_164_Jul-22,student164@jul-22.spjain.edu,GMBA,Jul-22,2024,85.0,77.7,94.6,4,89.1,6,Outstanding,Not Placed,0
SPJ20233165,Student_165_Jul-22,student165@jul-22.spjain.edu,GMBA,Jul-22,2023,79.4,70.9,72.2,4,90.0,6,Average,Placed,3
SPJ20241492,Student_166_Jan-24,student166@jan-24.spjain.edu,GCGM,Jan-24,2024,75.7,81.2,83.0,2,90.8,4,Outstanding,Not Placed,0
SPJ20244032,Student_167_Jul-22,student167@jul-22.spjain.edu,MGB,Jul-22,2024,75.3,74.3,91.7,0,78.4,3,Outstanding,Placed,1
SPJ20222993,Student_168_Jul-22,student168@jul-22.spjain.edu,GCGM,Jul-22,2022,70.4,87.3,79.6,3,77.3,3,Needs Handholding,Not Placed,0
SPJ20226231,Student_169_Jan-24,student169@jan-24.spjain.edu,GCGM,Jan-24,2022,90.4,74.7,79.6,1,76.2,8,Good,Not Placed,0
SPJ20246068,Student_170_Jul-22,student170@jul-22.spjain.edu,GMBA,Jul-22,2024,93.6,84.7,88.9,2,83.4,7,Good,Placed,3
SPJ20233988,Student_171_Jan-24,student171@jan-24.spjain.edu,MGB,Jan-24,2023,90.8,89.8,70.9,2,90.5,3,Needs Handholding,Not Placed,0
